Class_ID,Class_Name,Unicode_Character,Precision,Recall,F1_Score,Support
0,1,අ,1.0,0.875,0.9333333333333333,24
1,2,ආ,1.0,1.0,1.0,24
2,3,ඇ,0.9230769230769231,1.0,0.96,24
3,4,ඈ,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
4,5,ඉ,1.0,1.0,1.0,24
5,6,ඊ,0.96,1.0,0.9795918367346939,24
6,7,උ,1.0,1.0,1.0,24
7,8,එ,1.0,0.9583333333333334,0.9787234042553191,24
8,9,ඒ,0.8846153846153846,0.9583333333333334,0.92,24
9,10,ඔ,0.84,0.875,0.8571428571428571,24
10,11,ඕ,0.9130434782608695,0.875,0.8936170212765957,24
11,12,ක,0.9130434782608695,0.875,0.8936170212765957,24
12,13,කා,0.88,0.9166666666666666,0.8979591836734694,24
13,14,කැ,0.8888888888888888,1.0,0.9411764705882353,24
14,15,කෑ,0.8333333333333334,0.4166666666666667,0.5555555555555556,24
15,16,කි,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
16,17,කී,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
17,18,කු,0.3684210526315789,0.875,0.5185185185185185,24
18,19,කූ,0.8148148148148148,0.9166666666666666,0.8627450980392157,24
19,20,ක්,0.8846153846153846,0.9583333333333334,0.92,24
20,21,කෝ,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
21,22,ක්‍ර,0.9545454545454546,0.875,0.9130434782608695,24
22,23,ක්‍රි,0.875,0.875,0.875,24
23,24,ක්‍රී,0.9130434782608695,0.875,0.8936170212765957,24
24,25,ග,1.0,0.9583333333333334,0.9787234042553191,24
25,26,ගා,0.96,1.0,0.9795918367346939,24
26,27,ගැ,0.8888888888888888,1.0,0.9411764705882353,24
27,28,ගෑ,0.8947368421052632,0.7083333333333334,0.7906976744186046,24
28,29,ගි,0.92,0.9583333333333334,0.9387755102040817,24
29,30,ගී,1.0,0.9166666666666666,0.9565217391304348,24
30,31,ගු,0.8888888888888888,1.0,0.9411764705882353,24
31,32,ගූ,0.9565217391304348,0.9166666666666666,0.9361702127659575,24
32,33,ග්,0.96,1.0,0.9795918367346939,24
33,34,ගෝ,0.9565217391304348,0.9166666666666666,0.9361702127659575,24
34,35,ග්‍ර,0.92,0.9583333333333334,0.9387755102040817,24
35,36,ග්‍රි,0.96,1.0,0.9795918367346939,24
36,37,ග්‍රී,0.96,1.0,0.9795918367346939,24
37,38,ච,0.9230769230769231,1.0,0.96,24
38,39,චා,1.0,0.9583333333333334,0.9787234042553191,24
39,40,චැ,0.8571428571428571,1.0,0.9230769230769231,24
40,41,චෑ,0.9333333333333333,0.5833333333333334,0.717948717948718,24
41,42,චි,0.875,0.875,0.875,24
42,43,චී,0.84,0.875,0.8571428571428571,24
43,44,චු,0.7619047619047619,0.6666666666666666,0.7111111111111111,24
44,45,චූ,0.7272727272727273,1.0,0.8421052631578947,24
45,46,ච්,0.84,0.875,0.8571428571428571,24
46,47,චෝ,0.96,1.0,0.9795918367346939,24
47,48,ච්‍ර,0.8076923076923077,0.875,0.84,24
48,49,ච්‍ර්,0.8571428571428571,0.75,0.8,24
49,50,ච්‍රී,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
50,51,ජ,0.9565217391304348,0.9166666666666666,0.9361702127659575,24
51,52,ජා,0.92,0.9583333333333334,0.9387755102040817,24
52,53,ජැ,0.85,0.7083333333333334,0.7727272727272727,24
53,54,ජෑ,0.9130434782608695,0.875,0.8936170212765957,24
54,55,ජි,0.84,0.875,0.8571428571428571,24
55,56,ජී,0.8846153846153846,0.9583333333333334,0.92,24
56,57,ජු,0.8518518518518519,0.9583333333333334,0.9019607843137255,24
57,58,ජූ,0.84,0.875,0.8571428571428571,24
58,59,ජ්,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
59,60,ජෝ,1.0,0.9583333333333334,0.9787234042553191,24
60,61,ජ්‍ර,0.9545454545454546,0.875,0.9130434782608695,24
61,62,ජ්‍රි,0.8846153846153846,0.9583333333333334,0.92,24
62,63,ජ්‍රී,0.9565217391304348,0.9166666666666666,0.9361702127659575,24
63,64,ට,0.96,1.0,0.9795918367346939,24
64,65,ටා,0.96,1.0,0.9795918367346939,24
65,66,ටැ,1.0,1.0,1.0,24
66,67,ටෑ,0.9523809523809523,0.8333333333333334,0.8888888888888888,24
67,68,ටි,0.9230769230769231,1.0,0.96,24
68,69,ටී,0.96,1.0,0.9795918367346939,24
69,70,ටු,0.8181818181818182,0.75,0.782608695652174,24
70,71,ටූ,0.8636363636363636,0.7916666666666666,0.8260869565217391,24
71,72,ට්,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
72,73,ටෝ,0.96,1.0,0.9795918367346939,24
